"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
31450,"2024-07-02","2024OP004172",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004172","2024NS016831","2024-07-03","2024-07-03",53686
32582,"2024-07-02","2024OP005304",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005303","2024NS017963","2024-07-03","2024-07-03",58283
37788,"2024-12-12","2024OP011259",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011156","2024NS036853","2024-12-12","2024-12-12",51504
35897,"2024-12-12","2024OP009368",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009361","2024NS034957","2024-12-12","2024-12-12",53934
27534,"2024-07-02","2024OP005383",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005382","2024NS018042","2024-07-03","2024-07-03",54398
33194,"2024-12-12","2024OP006665",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006667","2024NS032254","2024-12-12","2024-12-12",56608
28042,"2024-07-02","2024OP005891",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005890","2024NS018550","2024-07-03","2024-07-03",56609
37790,"2024-12-12","2024OP011261",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011168","2024NS036855","2024-12-12","2024-12-12",57706
31457,"2024-07-02","2024OP004179",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004179","2024NS016838","2024-07-03","2024-07-03",54672
35898,"2024-12-12","2024OP009369",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009373","2024NS034958","2024-12-12","2024-12-12",50880
27535,"2024-07-02","2024OP005384",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005383","2024NS018043","2024-07-03","2024-07-03",56020
35904,"2024-12-12","2024OP009375",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB009351","2024NS034964","2024-12-12","2024-12-12",50087
33148,"2024-12-12","2024OP006619",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006621","2024NS032208","2024-12-12","2024-12-12",56461
37303,"2024-12-12","2024OP010774",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010774","2024NS036368","2024-12-12","2024-12-12",56904
37787,"2024-12-12","2024OP011258",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011154","2024NS036852","2024-12-12","2024-12-12",57161
37786,"2024-12-12","2024OP011257",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011135","2024NS036851","2024-12-12","2024-12-12",60345
31872,"2024-07-02","2024OP004594",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004593","2024NS017253","2024-07-03","2024-07-03",57162
