"categoria","frequencia","proporcao","percentual"
"detalhado",11546,0.669061829982036,"66.9%"
"mediano",5385,0.312047285159645,"31.2%"
"NÃO FOI POSSÍVEL IDENTIFICAR",326,0.0188908848583184,"1.9%"
