id_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
44153,93322,1,Ampliação do Acesso a Cirurgias Eletivas e Consultas Especializadas no Município de Sena Madureira/AC,UN,211,891000,0,0,0,0,0,0,0,36
44569,108354,1,"Aquisição de Acuçar Cristal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,201,824.1,0,0,0,0,0,0,0,4
44569,108385,9,"Aquisição de Milho para Pipoca para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,20,64,0,0,0,0,0,0,0,4
44569,108387,9,"Aquisição de Orégano para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,16,35.2,0,0,0,0,0,0,0,4
44569,108381,10,"Aquisição de Massa para Sopa para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,183,764.94,0,0,0,0,0,0,0,4
44569,94086,1,"Aquisição de Acuçar Mascavo para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,131,2882,0,0,0,0,0,0,0,4
44569,103818,1,Contratação de Serviços de Pessoa Juridica - Locação de veículo para atendimento das demandas do Centro de Referência de Assistência Social - CRAS.,UN,1,135000,0,0,0,0,0,0,0,12
44569,108355,1,"Custeio de serviços para os serviços sócio assistenciais da Proteção Social Básica e/ou Proteção Social Especial realizados no CRAS e no SCFV, visando a Estruturação da Rede de Serviços do Sistema Único de Assistência Social SUAS",UN,1,198000,0,0,0,0,0,0,0,12
44569,108357,2,"Aquisição de Arroz Branco/Parborizado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,350,1680,0,0,0,0,0,0,0,4
44569,108359,2,"Aquisição de Azeite de Dendê  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,31,279,0,0,0,0,0,0,0,4
44569,108360,2,"Aquisição de Biscoito Doce para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,289,1300.5,0,0,0,0,0,0,0,4
44569,108364,2,"Aquisição de Cacau em Pó 100% para  suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,270,2943,0,0,0,0,0,0,0,4
44569,108361,2,"Aquisição de Biscoito Salgado Integral para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,116,510.4,0,0,0,0,0,0,0,4
44569,108363,2,"Aquisição de Biscoito de Polvilho Natural para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,202,2201.8,0,0,0,0,0,0,0,4
44569,108356,2,"Aquisição de Ameixa Preta Seca para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,37,240.5,0,0,0,0,0,0,0,4
44569,108362,2,"Aquisição de Biscoito Salgado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,289,1127.1,0,0,0,0,0,0,0,4
44569,108358,2,"Aquisição de Aveia em Flocos Finos para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS.",UN,354,1447.66,0,0,0,0,0,0,0,4
