CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,nome_executor,objeto_executor,data
83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"""1"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Janeiro, situada na zona rural. - (2244 M2); ""2"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Consoladora, situada na zona rural. - (2322 M2); ""3"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Venturin, situada na zona rural. - (1824 M2); ""4"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Santa Lúcia, situada na zona rural. - (4210 M2)"
78012-36742-39470,APROVADO,"07.00 SEC INFRAESTRUTURA
15.451.2003.1022 PAVIMENTAR E DRENAR RUAS E AVENIDAS
4.4.90.51.01 OBRAS E INSTALAÇÕES",MUNICIPIO DE PEDRA LAVRADA,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB","""1"": Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB - (6320 M2)"
75539-35476-38219,Enviado para Análise,"Função:               15 – Urbanismo  
Subfunção:            451 – Infraestrutura Urbana  
Programa:             0005 – Pavimentação de Ruas, AV, Praças e Outras Obras do Setor  
Ação:                 1015 – Execução de Obras de Pavimentação e Calçamento  
Categoria Econômica:  4 – Despesas de Capital  
Grupo da Despesa:     4.4 – Investimentos  
Elemento:             44.90.51 – Obras e Instalações",MUNICIPIO DE ARATACA,"Construção de Centro Comunitário Esportivo na sede do Município de Arataca/BA, compreendendo a execução de pavimentação em piso de concreto intertravado, implantação de paisagismo, instalação de academia ao ar livre e edificação de ponto de apoio com banheiros. A intervenção tem por finalidade qualificar a infraestrutura urbana, ampliando os espaços públicos de esporte e lazer promovendo maior integração social.","""1"": Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA - (450 M2)"
84071-40180-42980,APROVADO,"06- Secretaria de Infraestrutura e Serviços Urbanos
003 - Secretaria de Infraestrutura e Serviços Urbanos
15.451.0009.1012 - Pavimentação e Recuperação de ruas 
4.4.90.51.00.00 - Obras e Instalações
Fonte de Recurso: 1706.31100000 - Transferências da União Decorrentes de Emendas Parlamentares Individuais",MUNICIPIO DE ALTO ARAGUAIA,"Pavimentação tipo TSD na rua Edmundo Vieira de Freitas Sobrinho, bairro Aeroporto com travessia para o bairro professora Maria das Graças de Souza Pinto no município de Alto Araguaia - MT.","""1"": Implantação de pavimentação urbana em travessia, com extensão de cerca de 415m, contemplando terraplanagem, drenagem, pavimentação asfáltica, passeio público e sinalização. - (415 M)"
79653-37349-40080,Enviado para Análise,"15.122.7004.1737
15-Urbanismo / 451-Infraestrutura Urbana",MUNICIPIO DE UBERLANDIA,"A presente ação tem como objeto a requalificação do mercado anexo Municipal de Uberlândia/MG, enquadrada na dotação orçamentária de construção e melhoria de edificações públicas. O projeto visa modernizar a infraestrutura do espaço do mercado destinado ao comércio popular, promovendo adequações físicas na estrutura do mercado, acessibilidade e funcionais que garantam melhores condições de trabalho aos comerciantes.
A iniciativa busca ainda oferecer maior conforto, segurança e acessibilidade aos consumidores, contribuindo para a organização do comércio, valorização do centro urbano e fortalecimento da economia local. Com a melhoria da estrutura, espera-se estimular o desenvolvimento econômico do município, gerando benefícios diretos tanto para os trabalhadores quanto para a população que utiliza o espaço.
Apoio a projetos e obras de reabilitação, acessibilidade e modernização tecnológica em áreas urbanas. A ação prevê a elaboração e a execução de obras de implantação, ampliação, restauração, reforma e/ou adaptação de espaços e logradouros públicos urbanos.
","""1"": REQUALIFICAÇÃO DO MERCADO MUNICIPAL ANEXO - (1 UN)"
83591-34779-37588,APROVADO,"09 - SECRETARIA MUNICIPAL OBRAS E URBANISMO
0500 - Superintendencia de Manutencao de Estradas Vicinai
09.0500.26.782.00011.002 - CONSTRUCAO DE PONTES, BUEIRAS, PASSAGEM MOLHADA E PONTOS DE ONIBUS
4.4.9.0.51.00.00.00.0000 OBRAS E INSTALACOES",MUNICIPIO DE OLHO D'AGUA GRANDE,Implantação de passagens molhadas em estradas vicinais no município de Olho D'Água Grande – AL,"""1"": Implantação De Passagem Molhada Em Estradas Vicinais no Municipio ee Olho Dagua Grande - AL - (1 UN)"
76173-40279-43087,Em Complementação,09.01.00 10 301 1002 2006 3.3.90.39,FUNDO MUNICIPAL DE SAUDE,"Custeio de ações e serviços de Atenção Primária à Saúde, com foco no fortalecimento da Estratégia Saúde da Família, ampliação o acesso à assistência e qualificação da atenção prestada à população do Município de Ferraz de Vasconcelos/SP.","""1"": Execução dos serviços de Atenção Primária à Saúde nas Unidades Básicas de Saúde, mediante contrato de gestão firmado com a Organização Social de Saúde. - (1 UN)"
83885-36056-38782,APROVADO,NA,MUNICIPIO DE PRESIDENTE GETULIO,"Aquisição de uma retroescavadeira para a secretaria municipal de obras, destinada melhoria dos serviços urbanos no município de Presidente Getúlio.
RETROESCAVADEIRA NOVA. TIPO A. ZERO HORA. COM TRAÇÃO 4X4, CABINE FECHADA, AR-CONDICIONADO, CAÇAMBAS CARREGADEIRA DE 1,1M³ E ESCAVADEIRA DE 0,26M³, PROFUNDIDADE MÁXIMA DE ESCAVAÇÃO DE 4.540 MM, PESO OPERACIONAL DE 8.185 KG, TRANSMISSÃO DE 4 MARCHAS À FRENTE E 4 À RÉ.","""1"": Aquisição de uma retroescavadeira. - (1 UN)"
76896-36792-39518,Enviado para Análise,"Órgão: 16  - Fundo Municipal de Educação
Unidade: 16.16 - Fundo Municipal de Educação
Função: 12 - Educação
Subfunção: 361 - Ensino Fundamental
Programa: 0007 - Gestão de Políticas Educacionais
Atividade: 1035 - Construção, Reforma e Ampliação de Unidades Escolares
Natureza da despesa: 44.90.51.00 - Obras e Instalações
Fonte de Recursos: 17060000 - Transferências Especiais da União",MUNICIPIO DE SAO DOMINGOS DO CAPIM,REFORMA DE TRÊS ESCOLAS MUNICIPAIS EM SÃO DOMINGOS DO CAPIM/PA,"""1"": REFORMA DA ESCOLA VEREADOR CANDIDO LOPES DE OLIVEIRA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral  ) - (1624 M2); ""2"": REFORMA DA ESCOLA IZABEL CUNHA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral) - (495 M2); ""3"": REFORMA DA ESCOLA NOSSA SENHORA DO LIVRAMENTO II (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral) - (415 M2)"
77998-38437-41187,Em Complementação,"02 PODER EXECUTIVO
02 07 SECRETARIA DE EDUCACAO, CULTURA E DESPORTO
02 07 72 DEPARTAMENTO DE CULTURA E DESPORTO
13 Cultura
13 392 Difusão Cultural
13 392 0042 PROMOÇÃO E DIFUSÃO DA CULTURA LOCAL
13 392 0042 2042 0000 MANUT DAS ATIVIDADES CULTURAIS
",MUNICIPIO DE CALCADO,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,"""1"": 35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE. - (1 UN)"
76346-38032-40779,Enviado para Análise,1001 - 10.301.0038.1.020 - Equipamentos de Unidade de Saúde,MUNICIPIO DE VARZEA ALEGRE,Aquisição de Veículos tipo Motocicleta  para os Agentes Comunitários de Saúde,"""1"": Aquisição de Veículos tipo Motocicleta - (52 UN)"
83014-41168-44023,APROVADO,"Ficha: 192
Órgão: 10 – Município de Campos Belos
Unidade: 05 – Secretaria de Infraestrutura, Transporte e Obras
Função: 26 - Transporte
Subfunção: 782 - Transporte
Programa: 023 – Serviços de Transportes
Projeto/Atividade: 1.061 – Construção de Pontes e Bueiros
Natureza da Despesa: 4.4.90.51 Obras e Instalações

",MUNICIPIO DE CAMPOS BELOS,"CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²","""1"": CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M² - (66 M2)"
84062-40107-42908,APROVADO,"02.141 FUNDO MUNICIPAL DE SANEAMENTO BÁSICO E INFRAESTRUTURA URBANA
15 451 1012 1043 - PAVIMENTAÇÃO E DRENAGEM PLUVIAL
4490.5100 OBRAS E INSTALAÇÕES",MUNICIPIO DE SANTA RITA,Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),"""1"": Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²) - (750 M2)"
75582-36793-42432,Enviado para Análise,"12 - Educação
361 - Ensino Fundamental 
0011 - Qualidade do Ensino Fundamental
12.361.0011.1054- Construção, Reforma e Ampliação de Escolas de Ensino Fundamental.
44.90.51 – Obras e Instalações 
",FUNDO MUNICIPAL DE EDUCACAO DO MUNICIPIO DE FERREIRA GOMES,Requalificação de Escola Municipal João Freire Cordeiros. Onde serão realizadas obras de ampliação da unidade de educação.,"""1"": Requalificação de Telhado - (1600 M2); ""2"": Requalificação de Piso - (1400 M2); ""8"": Paredes - (1600 M2); ""9"": Forro - (460 M2); ""3"": Instalação Hidráulica - (450 M); ""4"": Instalação Elétrica - (1 UN); ""5"": Instalações de Climatização - (20 UN); ""6"": Muro - (1200 M2); ""7"": projetos - (6 UN)"
80090-43125-46083,Enviado para Análise,Órgão: 4 - Secretaria de Desenvolvimento; Unidade: 2 - Fundo Municipal da Agricultura; Função: 20 - Agricultura; Subfunção: 606 - Extensão Rural; Programa: 6-Valorização da Produção Rural; Ação: 2013 - Apoio ao Desenvolvimento Rural; Recurso: 0001 - Recurso livre.,MUNICIPIO DE IVOTI,"Aquisição de caminhão caçamba para apoio na melhoria de estradas rurais, transporte de insumos e serviços agropecuários","""1"": Aquisição de Caminhão Caçamba, 4x2, com um eixo na frente e outro atrás, e capacidade mínima para até 6 toneladas - (1 UN)"
84018-40423-43268,APROVADO,15.451.0013.1010.0000- Calçamento em Bloquete de Ruas e Avenidas,MUNICIPIO DE SAO BENTO,Pavimentação em bloquete de vias urbanas no município de São Bento/MA.,"""1"": Pavimentação em bloquete de vias urbanas no município de São Bento/MA. - (5000 M2)"
84366-38045-40793,APROVADO,451.15.539 - Pavimentação - Adequação de vias,MUNICIPIO DE CENTENARIO,"Recapeamento Asfáltico da Avenida Norte Sul e Rua São Paulo na área urbana do Município de Centenário -TO,","""1"": Pavimentação: Adequação De Vias urbana no Município de Centenário -TO - (8800 M2)"
84385-39763-42545,APROVADO,"15.451.0711.1022 Pavimentação Asfáltica e Bloquetes de Ruas e Avenidas 
 4490510000000000 139 OBRAS E INSTALACOES",MUNICIPIO DE XAMBIOA,Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO.,"""1"": Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO. - (350 M)"
83922-34429-37249,APROVADO,449051 - Obras e Instalações,MUNICIPIO DE CERRO LARGO,"Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m².","""1"": Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m² - (6600 M2)"
76163-41269-44135,Enviado para Análise,"Secretaria: 11 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
Unidade: 0019 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
15.451.0011.1013 CONSTRUÇÃO E AMPLIAÇÃO DA REDE DE ABASTECIMENTO DÁGUA DOMICILIAR
3.4.4.9.0.51.00.00.00.0000 1.500.0000 OBRAS E INSTALAÇÕES",MUNICIPIO DE SAO JOSE DA TAPERA,EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL.,"""1"": EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL. - (9450 M)"
83930-41517-44395,APROVADO,"Órgão 9 - Secretaria Municipal de Obras e Viação 
Unidade 1 - Obras e Viação
Função 26 - Transporte 
Subfunção 782 – Transporte Rodoviário
Programa 102 – Melhor Viver
Projeto Atividade 1440 – Reubanização de vias urbanas
449051 - Obra e Instalações",MUNICIPIO DE SANTIAGO,Pavimentação de vias urbanas no Município de Santiago/RS.,"""1"": Pavimentação em paralelepípedos da Rua Arististes Camargo extensão 210m e Rua Perimetral extensão 70m. - (280 M)"
84657-34654-37436,APROVADO,4.4.90.00O OBRAS DE MELHORIA DA INFRAESTRUTURA RURAL,MUNICIPIO DE CUNHATAI,PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA - Estrada Rural,"""1"": PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA -  Estrada Rural - (1 KM)"
77969-36818-39541,Em Complementação,"Órgão: 02 – Prefeitura Municipal de Lagarto
UO: 0229 Secretaria Municipal de Desenvolvimento Urbano - SEMDU
Função: 25 Energia
SubFunção: 762 Energia Elétrica 
Programa: 0003 Promovendo o desenvolvimento Urbano e Rural
                     1166 Implantação, expansão, recuperação e ou/ manutenção da iluminação publica
Atividade: 44905200
Natureza da Despesa: 17510000
",MUNICIPIO DE LAGARTO,Aquisição de Luminárias Led para as áreas urbanas no municipio de Lagarto/SE,"""1"": Aquisição de Luminárias Led para as áreas urbanas no municipio de Lagarto/SE - (180 UN)"
76256-39547-45235,Enviado para Análise,"ORGAO 03000 SECRETARIA MUNICIPAL DE SAUDE 
UO 03001 FUNDO MUNICIPAL DE SAUDE 
DOTAÇÃO 10.122.0007.2013 MANUTENÇÃO DA SECRETARIA MUNICIPAL DE SAUDE  
FONTE 1659.3110
",FUNDO MUNICIPAL DE SAUDE,CUSTEIO DE COMBUSTÍVEL PARA FUNCIONAMENTO DA FROTA DE SECRETARIA DE SAÚDE,"""1"": Custeio de combustivel para funcionamento da frota da secretaria de saúde - (33000 L)"
83924-36649-39379,APROVADO,"Órgão = 11    Sec. M. Desenv. Urbano, Obras e Trânsito                                                      
Unidade Orçamentária = 11.01 Coordenadoria de Desenvolvimento Urbano                                        
Função = 15 Urbanismo                                                                          
Subfunção = 451 Infra-estrutura Urbana
Programa= 0106 Gestão Urbana e Inovação
Ação: 1458 - EP 202540730001 - Pavimentação (SMODUTRAN)
Natureza da Despesa = 4.4.90.51.00.00- Obras e Instalações",MUNICIPIO DE IJUI,"Pavimentação de trechos da Rua Rio Grande do Sul, Rua Pedro A. Sanfelice e Rua Frederico Prauchner. Área total de pavimentação 3.085 m².","""1"": Pavimentação de trechos da Rua Rio Grande do Sul, Rua Pedro A. Sanfelice e Rua Frederico Prauchner. Área total de pavimentação 3.085 m². - (3085 M2)"
83909-40519-43329,APROVADO,"Obras e Instalações 44 90 51 00 00 00 - Projeto 1,022 Ampliação e Melhoria do Sistema Viário",MUNICIPIO DE SANTO ANGELO,Pavimentação asfaltica de Via no Bairro Haller,"""1"": Pavimentação asfaltica de Via no Bairro Haller - (1 UN)"
76261-40928-45823,Em Complementação,"AÇÃO: 2158
ÓRGÃO: 02 - PREFEITURA MUNICIPAL DE NEÓPOLIS
UNIDADE ORÇ: 2010 - SECRETARIA D OBRAS E TRANSPORTE - SEOT
FUNÇÃO: 25 - ENERGIA / SUBFUNÇÃO: 122 - ADMINISTRAÇÃO GERAL / PROGRAMA: 0002 - DESENVOLVIMENTO SUSTENTÁVEL
ELEMENTO: 44905100
FONTE: 17063110
SUBELEMENTO: 44905103
MARCADOR: 17063110",MUNICIPIO DE NEOPOLIS,MODERNIZAÇÃO DA ILUMINAÇÃO PÚBLICA NA ZONA URBANA DO MUNICÍPIO DE NEÓPOLIS/SE.,"""1"": MODERNIZAÇÃO DA ILUMINAÇÃO PÚBLICA NA ZONA URBANA DO MUNICÍPIO DE NEÓPOLIS/SE. - (440 UN)"
80762-41283-44153,Enviado para Análise,"Entidade:	Prefeitura Municipal Sena Madureira
Órgão:	15 - Secretaria Municipal de Saúde
Unidade:	010 - Fundo Municipal de Saúde
Função:	10 - Saúde
Subfunção:	301 -  Atenção Primária à Saúde
Programa:	0002 - Aprimoramento dos Serviços Públicos com Eficiência e Responsabilidade.
Projeto/Atividade:	1186 - Programa de Redução do tempo de Espera por atendimento especializado no SUS
Fonte:	706 - Transferência Especial da União
Natureza de Despesa:	3.3.90.39 - Outros Serviços de Terceiros Pessoa Jurídica",MUNICIPIO DE SENA MADUREIRA,"•	Realização de 91 cirurgias eletivas por videolaparoscopia, abrangendo procedimentos de média complexidade, conforme indicação médica e demanda reprimida existente no município;
•	Execução de 120 consultas médicas especializadas, sendo 60 consultas pré-operatórias e 60 consultas pós-operatórias, assegurando o acompanhamento clínico completo dos pacientes atendidos;
•	Todas as metas serão mensuráveis e verificáveis, com base em prontuários médicos, relatórios técnicos, registros de atendimento e acompanhamento pela Secretaria Municipal de Saúde.         
As metas estabelecidas neste plano visam garantir a aplicação eficiente dos recursos públicos, com foco na ampliação do acesso da população a cirurgias eletivas e consultas especializadas no âmbito do SUS. Com base no planejamento técnico e na capacidade instalada da rede municipal de saúde, as ações propostas são quantificáveis, compatíveis com o valor disponibilizado e diretamente alinhadas à demanda reprimida identificada no município.","""1"": Ampliação do Acesso a Cirurgias Eletivas e Consultas Especializadas no Município de Sena Madureira/AC - (211 UN)"
75429-41305-44569,Enviado para Análise,"Órgão:	50 – Fundo Municipal de Assistência Social de Calçoene (FMASC)
Unidade Orçamentária:	16 – Secretaria Municipal de Assistência Social
Função:	08 – Assistência Social
Subfunção:	245 – Serviços Socioassistenciais
Ação (detalhamento no sistema):	Q1 – Estruturação da Rede de Serviços do Sistema Único de Assistência Social (SUAS)",MUNICIPIO DE CALCOENE,"Custeio de serviços para os serviços sócio assistenciais da Proteção Social Básica e/ou Proteção Social Especial realizados no CRAS e no SCFV, visando a Estruturação da Rede de Serviços do Sistema Único de Assistência Social SUAS","""1"": Aquisição de Acuçar Cristal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (201 UN); ""9"": Aquisição de Milho para Pipoca para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (20 UN); ""9"": Aquisição de Orégano para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (16 UN); ""10"": Aquisição de Massa para Sopa para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (183 UN); ""1"": Aquisição de Acuçar Mascavo para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (131 UN); ""1"": Contratação de Serviços de Pessoa Juridica - Locação de veículo para atendimento das demandas do Centro de Referência de Assistência Social - CRAS. - (1 UN); ""1"": Custeio de serviços para os serviços sócio assistenciais da Proteção Social Básica e/ou Proteção Social Especial realizados no CRAS e no SCFV, visando a Estruturação da Rede de Serviços do Sistema Único de Assistência Social SUAS - (1 UN); ""2"": Aquisição de Arroz Branco/Parborizado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (350 UN); ""2"": Aquisição de Azeite de Dendê  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (31 UN); ""2"": Aquisição de Biscoito Doce para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (289 UN); ""2"": Aquisição de Cacau em Pó 100% para  suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (270 UN); ""2"": Aquisição de Biscoito Salgado Integral para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (116 UN); ""2"": Aquisição de Biscoito de Polvilho Natural para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (202 UN); ""2"": Aquisição de Ameixa Preta Seca para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (37 UN); ""2"": Aquisição de Biscoito Salgado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (289 UN); ""2"": Aquisição de Aveia em Flocos Finos para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (354 UN); ""2"": Aquisição de Café em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (255 UN); ""2"": Aquisição de  material de expediente diversos para suprir as necessidades do Centro de Referência de Assistência Social - CRAS. - (300 UN); ""2"": Aquisição de Canela em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (12 UN); ""2"": Aquisição de Coco Ralado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (262 UN); ""3"": Aquisição de Colorau para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (31 UN); ""4"": Aquisição de Creme de Leite para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (556 UN); ""5"": Aquisição de Extrato de Toma 340g  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (319 UN); ""6"": Aquisição de Farinha de Tapioca pacote de um KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (422 UN); ""7"": Aquisição de Farinha de Mandioca pacote de 1 KG  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (391 UN); ""8"": Aquisição de Peixe Enlatado (Sardinha) para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (826 UN); ""8"": Aquisição de Suco Concentrado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (12 UN); ""8"": Aquisição de Amido de Milho para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (118 UN); ""8"": Aquisição de Açafrão em Pó para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (28 UN); ""8"": Aquisição de Seleta de Legumes para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (304 UN); ""8"": Aquisição de Fermento em Pó Químico 100g para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (14 UN); ""8"": Aquisição de Vinagre de Álcool para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (148 UN); ""9"": Aquisição de Farinha de Trigo para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (52 UN); ""9"": Aquisição de Óleo de Soja Vegetal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (81 UN); ""9"": Aquisição de Pão de Cachorro Quente e/ou Francês para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (751 UN); ""9"": Aquisição de Proteína de Soja para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (114 UN); ""9"": Aquisição de Feijão Preto - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (90 UN); ""9"": Aquisição de Sal Refinado para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (28 UN); ""10"": Aquisição de Macarrão - Tipo Espaguete  para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (230 UN); ""10"": Aquisição de Milho Branco para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (201 UN); ""10"": Aquisição de Manteiga sem Sal para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (52 UN); ""10"": Aquisição de Milharina para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (281 UN); ""10"": Aquisição de Feijão Carioquinha - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (88 UN); ""10"": Aquisição de Feijão Rajado - Tipo 1 pacote de 1KG para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (117 UN); ""10"": Aquisição de Leite de Coco para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (509 UN); ""10"": Aquisição de Leite em Pó Integral para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (1976 UN); ""10"": Aquisição de Folha de Louro para suprir as necessidades para manutenção e funcionamento do Serviço de Convivência e Fortalecimento de Vínculos - SCFV, atividade executada pelo CRAS. - (14 UN)"
76654-NA-NA,NA,NA,NA,NA,"""NA"": NA - (NA NA)"
81481-NA-NA,NA,NA,NA,NA,"""NA"": NA - (NA NA)"
82067-NA-NA,NA,NA,NA,NA,"""NA"": NA - (NA NA)"
