CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,nome_executor,objeto_executor,data
76779-35721-38462,APROVADO,15.451 .1268.1021 .0000 PAVIMENTAÇÃO ASFALTICA DE VIAS URBANAS,MUNICIPIO DE MORRO CABECA NO TEMPO,PAVIMENTAÇÃO ASFALTICA DE VIAS URBANAS,"""1"": PAVIMENTAÇÃO DE VIAS PUBLICAS - (2475 M2)"
76783-38589-41340,APROVADO,"Poder: 02 – Poder Executivo
Orgão: 08 – Secretaria Municipal de Serviço Urbano e Infraestrutura
Unidade: 00 - Secretaria Municipal de Serviço Urbano e Infraestrutura
Projeto/Atividade: 26.782.0534.1032.0000 – Construção e Restauração de Estradas
Elemento de Despesa: 4490.51 – Obras e Instalações",MUNICIPIO DE FARTURA DO PIAUI,Construção de 11 km Estradas Vicinais na Zona Rural,"""1"": Construção de 11 km Estradas Vicinais na Zona Rural - (11 KM)"
76780-39655-42441,APROVADO,4.4.90.51.00.00 - OBRAS E INSTALAÇÕES,MUNICIPIO DE JARDIM DO MULATO,PAVIMENTAÇÃO ASFÁLTICA NA ZONA URBANA DO MUNICÍPIO DE JARDIM DO MULADO - PI,"""1"": PAVIMENTAÇÃO ASFÁLTICA NA ZONA URBANA DO MUNICÍPIO DE JARDIM DO MULADO - PI - (3300 M2)"
76782-34871-37642,APROVADO,4.4.90.51.00.00 - OBRAS E INSTALAÇÕES,MUNICIPIO DE ELESBAO VELOSO,IMPLANTAÇÃO DE PONTE NA ESTRADA GAMELEIRA NO MUNICÍPIO DE ELESBÃO VELOSO - PI,"""1"": IMPLANTAÇÃO DE PONTE NA ESTRADA GAMELEIRA NO MUNICÍPIO DE ELESBÃO VELOSO - PI - (36 UN)"
76788-38210-40958,Em Complementação,"PODER: Executivo
ÓRGÃO: 02.00. – Prefeitura Municipal de Nossa Senhora dos Remédios
UNIDADE: 02.09.00 – Secretaria Municipal de Cultura
PROJETO / ATIVIDADE: 13.392.0038.2694 – Encargos com Atividades Culturais
FONTE DE RECURSO: 706",MUNICIPIO DE NOSSA SENHORA DOS REMEDIOS,"Realização de evento cultural e agropecuário na Praça de Eventos Violeta Fortes. Duração de três dias com uma programação diversificada focando no fomento à  cultura e produção agropecuária local, na zona urbana de Nossa Senhora dos Remédios-PI.","""1"": Realização de evento cultural e agropecuário na Praça de Eventos Violeta Fortes. Duração de três dias com uma programação diversificada focando no fomento à  cultura e produção agropecuária local, na zona urbana de Nossa Senhora dos Remédios-PI. - (1 UN)"
76762-40320-43132,APROVADO,"02 PODER EXECUT IVO
0 8 D EPARTAMENTO DE OBRAS E SERVIÇOS PÚBLICOS
15 Urbanismo 
15 451 Infra-Estrutura Urbana
15 451 1223 INFRA-ESTRUTURA URBANA
15.451.1223.1038.0000 CONSTRUÇÃO DE CALÇAMENTO OU PAVIMENTAÇÃO
URBANA",MUNICIPIO DE JULIO BORGES,"PAVIMENTAÇÃO ASFÁLTICA  NAS RUAS: ARISTÓTELES (TRECHO I) E (TRECHO 2), E MANOEL BARBOSA, ZONA URBANA DO MUNICÍPIO DE JÚLIO BORGES - PI.","""1"": PAVIMENTAÇÃO ASFÁLTICA  NAS RUAS: ARISTÓTELES (TRECHO I) E (TRECHO 2), E MANOEL BARBOSA, ZONA URBANA DO MUNICÍPIO DE JÚLIO BORGES - PI. - (3206 M2)"
76769-37719-40459,APROVADO,"CONST. E REC. DE CALÇAMENTO - 15.451.0011.1029

PAVIMENTAÇÃO VIAS PÚBLICAS EM PARALELEPÍPEDO NA ZONA URBANA DO MUNICÍPIO DE GILBUÉS-PI.",MUNICIPIO DE GILBUES,"CONST. E REC. DE CALÇAMENTO - 15.451.0011.1029

PAVIMENTAÇÃO VIAS PÚBLICAS EM PARALELEPÍPEDO NA ZONA URBANA DO MUNICÍPIO DE GILBUÉS-PI.","""3"": ILUMINAÇÃO PÚBLICA - (1 UN); ""1"": CONST E REC DE CALÇAMENTO - PAVIMENTAÇÃO DE VIAS PÚBLICAS EM PARALELEPÍPEDO NA ZONA URBANA DO MUNICÍPIO DE GILBUÉS-PI - (3300 M2); ""2"": PORTAL DE ENTRADA - (1 UN)"
76774-34329-37153,Enviado para Análise,10.301.0027.2048.0000 Manutenção Administrativa da Sec. Mun. de Saúde,FUNDO MUNICIPAL DE SAUDE,"
O Município de Marcolândia/PI, com população estimada em 14.648 habitantes, apresenta alta demanda por serviços da Atenção Primária e depende fortemente da estrutura da rede de Unidades Básicas de Saúde (UBS) para garantir a cobertura integral do SUS. Os recursos desta emenda especial, no valor de R$ 495.982,08, serão aplicados integralmente em despesas de custeio, com foco no fortalecimento da Assistência Farmacêutica, no suporte administrativo às equipes de saúde e na manutenção da higiene das unidades, assegurando condições adequadas para a oferta contínua e qualificada dos serviços.
As ações contemplam:
•	Assistência Farmacêutica: Destinação de recursos para aquisição e reposição de medicamentos padronizados na Relação Nacional de Medicamentos Essenciais – RENAME, assegurando disponibilidade regular, evitando desabastecimentos e garantindo continuidade terapêutica aos usuários da Atenção Básica. Essa ação está em consonância com a PAS 2025, Diretriz nº 1 – Garantia do acesso da população a serviços públicos de qualidade, Objetivo nº 1.10 – Fortalecer a Assistência Farmacêutica, Meta nº 1.10.2 – Disponibilizar todos os medicamentos padronizados na RENAME.
•	Suporte Administrativo: Aquisição de material de expediente (formulários, impressos, canetas, pastas e insumos correlatos) para apoiar o trabalho das equipes multiprofissionais da Estratégia de Saúde da Família (ESF), garantindo organização, registros adequados e eficiência nos atendimentos. Essa iniciativa está vinculada à PAS 2025, Diretriz nº 1 – Garantia do acesso, Objetivo nº 1.1 – Ampliar ações de promoção e prevenção à saúde, Meta nº 1.1.1 – Realizar campanhas educativas e prover material didático de apoio às equipes.
•	Higienização e Limpeza: Aquisição de materiais de limpeza e insumos de uso contínuo, fundamentais para manter as UBS em condições adequadas de higiene, com ambientes seguros e acolhedores para usuários e profissionais. Essa ação está alinhada à PAS 2025, Diretriz nº 1 – Garantia do acesso, Objetivo nº 1.1 – Ampliar ações de promoção e prevenção à saúde, Meta nº 1.1.4 – Manter a equipe multiprofissional, garantindo apoio estrutural às unidades.
Os recursos atenderão diretamente as seguintes Unidades Básicas de Saúde do município, todas cadastradas no CNES:
•	PS Ana Josefa Ramos – CNES 7779151
•	PSF Mais Saúde Para Todos – CNES 7779186
•	UBS Serra dos Elias – CNES 9823999
•	USF de Marcolândia – CNES 2325535
•	Secretaria Municipal de Saúde de Marcolândia – CNES 7779135
A aplicação desses recursos de custeio é estratégica para garantir a sustentabilidade da rede municipal de saúde, permitindo que os serviços ofertados continuem atendendo de forma regular e resolutiva às principais necessidades da população. Ao assegurar insumos para farmácias básicas, material administrativo para registros e limpeza das unidades, o município mantém em funcionamento as ações de clínica médica, enfermagem, saúde bucal, saúde da mulher, saúde da criança, acompanhamento de hipertensos e diabéticos, além de fortalecer a atuação das equipes multiprofissionais e de saúde da família.
Além disso, o investimento viabilizará o cumprimento das metas pactuadas na Programação Anual de Saúde (PAS 2025), fortalecendo a rede de Atenção Primária em consonância com as diretrizes do SUS. Dessa forma, a emenda especial garante não apenas a manutenção operacional das UBS, mas também a melhoria da qualidade dos serviços prestados, ampliando o acesso da população a ações de promoção, prevenção e recuperação da saúde, consolidando a política de atenção básica no território.

","""1"": Fortalecer a Assistência Farmacêutica, assegurando a aquisição e distribuição regular de medicamentos da RENAME para 100% das UBS do município. - (1 UN); ""2"": Apoiar a gestão administrativa das equipes multiprofissionais da ESF por meio da disponibilização contínua de materiais de expediente, beneficiando diretamente as UBS listadas no CNES - (1 UN); ""3"": Garantir condições adequadas de higiene e segurança nos ambientes de atendimento das UBS, com fornecimento regular de materiais de limpeza, contemplando todas as unidades cadastradas no CNES. - (1 UN)"
76787-34699-37469,Enviado para Análise,"ORGÃO: 02 – PREFEITURA

UNIDADE: 03 - SECRETARIA MUNICIPAL DE INFRAESTRUTURA

FUNÇÃO: 26 - Transporte

SUBFUNÇÃO: 782 – Transporte Rodoviário

PROGRAMA: 0004 – Implementação de Infra-Estrutura Urbana/Rural e de Serviços

26.782.0004.2114.0000 MANUTENÇÃO DE ESTRADAS E RODAGENS",MUNICIPIO DE SAO JULIAO,"MANUTENÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE SÃO JULIÃO - PI: TRECHO SEDE DO MUNICÍPIO A LOCALIDADE A PORCOS. Caso necessários serão realizados os seguintes itens listados: 1. Limpeza e desobstrução • Retirada de mato, entulho, pedras e galhos que atrapalham a via. • Limpeza de bueiros e valetas para permitir o escoamento da água. 2. Patrolamento (nivelamento da estrada) • Passagem de motoniveladora (ou trator de lâmina) para corrigir buracos, valas e ondulações. • Recompactação do solo para dar uniformidade ao leito da estrada. 3. Reaterro e cascalhamento • Colocação de cascalho ou brita nas partes mais críticas (buracos, trechos alagados, subidas e descidas). • Compactação com rolo para aumentar a resistência. 4. Drenagem • Abertura ou reforma de valetas laterais. • Instalação ou limpeza de bueiros e manilhas para evitar acúmulo de água. 5. Alargamento e correção de traçado (quando necessário) • Ampliação da estrada para permitir melhor passagem de veículos. • Correção de curvas perigosas ou trechos mal planejados.","""1"": ADEQUAÇÃO DE ESTRADAS VICINAIS NA ZONA RURAL DO MUNICÍPIO DE SÃO JULIÃO - PI: TRECHO SEDE DO MUNICÍPIO A LOCALIDADE PORCOS. - (11 KM)"
76760-38354-41103,Enviado para Análise,"33.90.39 Outros Serviços de Terceiros – Pessoa Jurídica.

Fonte: 500 – Recursos não Vinculados de Impostos.
FUNÇÃO: 15 - Urbanilsmo.
SUBFUNÇÃO: 122 – Administração Geral.
PROGRAMA: 0028 – Supervisão e Coordenação.
AÇÃO: 2053 – Manutenção da Secretaria de Obras e Serviços Públicos",MUNICIPIO DE CARIDADE DO PIAUI,"LOCAÇÃO DE MÁQUINAS PESADAS E CAMINHÕES COM EQUIPAMENTOS
","""1"": LOCAÇÃO DE 01 (UMA), MOTONIVELADORA – POTÊNCIA BÁSICA LÍQUIDA MÍNIMA (PRIMEIRA MARCHA) 140 HP, PESO BRUTO 15.000 KG, LARGURA DA LÂMINA DE 3.000 MM - (450 H); ""2"": LOCAÇÃO DE 01 (UMA), TRATOR DE ESTEIRAS COM LÂMINA E ESCARIFICADOR D6 - (100 H); ""7"": LOCAÇÃO DE 01 (UMA), CAMINHÃO TANQUE COM CAPACIDADE 8.OOOL – PIPA - (30 DIA); ""9"": LOCAÇÃO DE HORA/MAQUINA AGRÍCOLA: TRATOR AGRÍCOLA DE PNEUS, TRAÇADO, 4X4, COM POTÊNCIA MÍNIMA DE 100CV; GRADE ARADORA DE 14 A 16 DISCOS, COM 28 DE DIÂMETRO; GRADE NIVELADORA, - (500 H); ""3"": LOCAÇÃO DE 01 (UMA), ESCAVADEIRA HIDRAULICA PCS - (100 H); ""4"": LOCAÇÃO DE 03 (TRÊS), PÁ CARREGADEIRA - MOTOR MÍNIMO DE 4 CILINDROS, COM POTÊNCIA MÍNIMA DE 130HP, PESO BRUTO OPERACIONAL MÍNIMO DE 11 TONELADAS. ANO DE FABRICAÇÃO NÃO SUPERIOR A 05 ANOS, - (100 H); ""5"": LOCAÇÃO DE 01 (UMA), RETROESCAVADEIRA – SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1M³, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. - (100 H); ""6"": LOCAÇÃO DE 05 (CINCO), CAMINHÕES BASCULANTES 12M3, COM AS SEGUINTES CARACTERÍSTICAS: MOTOR A DIESEL, - (30 DIA); ""8"": LOCAÇÃO DE 01 (UMA), CAMINHÃO COM PRANCHA HIDRAULICA PARA TRANSPORTE DE MÁQUINAS, - (2000 KM)"
