id_plano_acao,id_executor,cnpj_executor,nome_executor,objeto_executor
80762,44153,04513362000137,MUNICIPIO DE SENA MADUREIRA,"•	Realização de 91 cirurgias eletivas por videolaparoscopia, abrangendo procedimentos de média complexidade, conforme indicação médica e demanda reprimida existente no município;
•	Execução de 120 consultas médicas especializadas, sendo 60 consultas pré-operatórias e 60 consultas pós-operatórias, assegurando o acompanhamento clínico completo dos pacientes atendidos;
•	Todas as metas serão mensuráveis e verificáveis, com base em prontuários médicos, relatórios técnicos, registros de atendimento e acompanhamento pela Secretaria Municipal de Saúde.         
As metas estabelecidas neste plano visam garantir a aplicação eficiente dos recursos públicos, com foco na ampliação do acesso da população a cirurgias eletivas e consultas especializadas no âmbito do SUS. Com base no planejamento técnico e na capacidade instalada da rede municipal de saúde, as ações propostas são quantificáveis, compatíveis com o valor disponibilizado e diretamente alinhadas à demanda reprimida identificada no município."
75429,44569,05990437000133,MUNICIPIO DE CALCOENE,"Custeio de serviços para os serviços sócio assistenciais da Proteção Social Básica e/ou Proteção Social Especial realizados no CRAS e no SCFV, visando a Estruturação da Rede de Serviços do Sistema Único de Assistência Social SUAS"
80224,44150,18128272000137,MUNICIPIO DE BRAS PIRES,"AQUISIÇÃO DE 4 VEICULOS DE PASSEIO CAPACIDADE MINIMA DE 5 LUGARES CADA, OS VEICULOS SERÃO UTILIZADOS PARA BUSCAR PACIENTES PARA FAZER CONSULTAS LEVAR TODA EQUIPE DA ESTRATEGIA DA SAUDE DA FAMILIA PARA FAZER VISITAS, VACINAÇÃO, MEDICAÇÃO E CONSULTAS MEDICAS, DEVIDO A ISSO É NECESSARIO DOIS VEICULOS EM CADA UBS. OS VEICULO SERÃO UTILIZADOS EM ATENDIMENTOS NA AREA URBANA E NA AREA RURAL DO MUNICIPIO.  SERÃO PARA USO NAS DUAS UBS DO MUNICIPIO SENDO DOIS EM CADA UMA,  SÃO ELAS: 2149281 - UBS Ribeirão E 6724213 - UBS Brás Pires.

"
77638,45815,46429379000150,MUNICIPIO DE SAO JOAO DA BOA VISTA,"O presente projeto foi elaborado para aquisição de 02 (dois) veículos automotores tipo minivan, 0
(zero) quilômetro, com capacidade para 7 (sete) ocupantes, motorização flex, câmbio manual e 01
(um) veículo automotor hach compacto 0 km motorização 1.0, bicombustível (flex), com câmbio
manual, destinado ao transporte institucional para as ações e serviços da Atenção Primária à Saúde.
O Departamento Municipal de Saúde, possui uma frota de veículos para transporte de passageiros
usuários do Sistema Único de Saúde - SUS para tratamento dentro e fora do território, são veículos de diferentes modelos e capacidade, para atender as mais diversas necessidades da população, com o
intuito de melhorar e otimizar o transporte de pacientes e as equipes de saúde a aquisição desses
veículos são de grande importância para ao atendimento aos usuários de forma humanizada e segura,
assegurando o deslocamento da equipe multiprofissional com autonomia e agilidade."
77716,46257,87613469000184,MUNICIPIO DE ARATIBA,"Pavimentação Asfáltica na  Comunidade Aratiba Linha Três Barra e Linha Volta Fechada, Município de Aratiba/RS."
75467,40759,06554026000168,MUNICIPIO DE ARRAIAL,Aquisição Ambulância
77813,44239,24851511000185,MUNICIPIO DE PALMAS,"Aquisição de MATERIAL DE CONSUMO (cestas básicas) para atender familias em situação de vulnerabilidade social distribuidos diretamente por meio dos 7 EQUIPAMENTOS PÚBLICOS de responsabilidade da Secretaira Municipal de Ação Social  - os CRAS - Centro de Referencia de Assistencia Social, para os beneficiários cadastrados no CADUNICO- na rede SOCIOASSISTENCIAL SUAS. que será EXECUTADA DIRETAMENTE  pela Pasta."
77882,42741,01612674000100,MUNICIPIO DE BREJETUBA,"Aquisição de 01 (um) caminhão frigorífico 3/4, zero quilômetro, com carroçaria rígida do tipo baú isotérmico misto, com sistema de refrigeração e congelamento, destinado ao transporte de gêneros alimentícios perecíveis, em especial os utilizados na merenda escolar. O veículo será utilizado pela Secretaria Municipal de Educação de Brejetuba/ES para atender às 14 unidades escolares da rede municipal, garantindo a conservação, qualidade e segurança sanitária dos alimentos transportados no âmbito do Programa Nacional de Alimentação Escolar – PNAE."
77002,40810,01612484000192,MUNICIPIO DE SANTO ANTONIO DO RETIRO,"REALIZAÇÃO DE 04  FESTAS DE FEIRA DA AGRICULTURA FAMILIAR NO MUNICÍPIO  DE SANTO ANTÔNIO DO RETIRO-MG, POR MEIO DE CONTRATAÇÃO SERVIÇOS ENTRE OUTRAS DESPESAS CORRELATAS À INFRAESTRUTURA PARA REALIZAÇÃO DOS EVENTOS"
76781,40786,06554026000168,MUNICIPIO DE ARRAIAL,"Aquisição de materiais de consumo - Combustível, Peças Automotivas, material de expediente e limpeza, para o Centro de Referência de Assistência Social - CRAS de Arraial, na zona urbana."
