id_plano_acao,cnpj_beneficiario_plano_acao,nome_beneficiario_plano_acao,uf_beneficiario_plano_acao,codigo_emenda_parlamentar_formatado_plano_acao,id_plano_trabalho,situacao_plano_trabalho,prazo_execucao_meses_plano_trabalho,classificacao_orcamentaria_pt,id_executor,cnpj_executor,nome_executor,objeto_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
76173,46523197000144,MUNICIPIO DE FERRAZ DE VASCONCELOS,SP,202544680002-RODRIGO GAMBALE,40279,Enviado para Análise,48,09.01.00 10 301 1002 2006 3.3.90.39,43087,12240956000140,FUNDO MUNICIPAL DE SAUDE,"Custeio de ações e serviços de Atenção Primária à Saúde, com foco no fortalecimento da Estratégia Saúde da Família, ampliação o acesso à assistência e qualificação da atenção prestada à população do Município de Ferraz de Vasconcelos/SP.",91569,1,"Execução dos serviços de Atenção Primária à Saúde nas Unidades Básicas de Saúde, mediante contrato de gestão firmado com a Organização Social de Saúde.",UN,1,3148200,0,0,0,0,0,0,0,48
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,83959,2,Rua Rio Mangabeira - Centro - Asfalto sobre pavimento existente,M2,294,0,20580,0,0,0,0,0,0,1
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,83958,1,Rua Arthur Marinho de Menezes e Travessas - Centro - Asfalto sobre pavimento existente,M2,2870,0,200900,0,0,0,0,0,0,2
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,83960,3,Rua Jose Helio - Centro - Asfalto sobre pavimento existente,M2,294,0,20580,0,0,0,0,0,0,1
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,99821,4,Rua Justiniano Justino - Centro - Asfalto sobre pavimento existente,M2,294,0,20580,0,0,0,0,0,0,1
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,99822,5,Rua Leonidas de Paula - Centro - Asfalto sobre pavimento existente,M2,512,0,35868,0,0,0,0,0,0,1
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,99823,6,Rua Leonidas de Paula - Centro - Asfalto sobre pavimento existente,M2,3060,0,214200,0,0,0,0,0,0,3
84471,08161234000122,MUNICIPIO DE ARES,RN,202542760013-ROGÉRIO MARINHO,35487,Enviado para Análise,6,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",38230,08161234000122,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,99824,7,Rua Ímola - Centro - Paralelepípedos e Calçadas,M2,2268,0,218902,0,0,0,0,0,0,2
83885,83102434000120,MUNICIPIO DE PRESIDENTE GETULIO,SC,202540620003-RICARDO GUIDI,36056,APROVADO,36,NA,38782,83102434000120,MUNICIPIO DE PRESIDENTE GETULIO,"Aquisição de uma retroescavadeira para a secretaria municipal de obras, destinada melhoria dos serviços urbanos no município de Presidente Getúlio.
RETROESCAVADEIRA NOVA. TIPO A. ZERO HORA. COM TRAÇÃO 4X4, CABINE FECHADA, AR-CONDICIONADO, CAÇAMBAS CARREGADEIRA DE 1,1M³ E ESCAVADEIRA DE 0,26M³, PROFUNDIDADE MÁXIMA DE ESCAVAÇÃO DE 4.540 MM, PESO OPERACIONAL DE 8.185 KG, TRANSMISSÃO DE 4 MARCHAS À FRENTE E 4 À RÉ.",84646,1,Aquisição de uma retroescavadeira.,UN,1,0,297000,0,0,0,0,0,0,36
76896,05193115000163,MUNICIPIO DE SAO DOMINGOS DO CAPIM,PA,202544570005-RENILCE NICODEMOS,36792,Enviado para Análise,36,"Órgão: 16  - Fundo Municipal de Educação
Unidade: 16.16 - Fundo Municipal de Educação
Função: 12 - Educação
Subfunção: 361 - Ensino Fundamental
Programa: 0007 - Gestão de Políticas Educacionais
Atividade: 1035 - Construção, Reforma e Ampliação de Unidades Escolares
Natureza da despesa: 44.90.51.00 - Obras e Instalações
Fonte de Recursos: 17060000 - Transferências Especiais da União",39518,05193115000163,MUNICIPIO DE SAO DOMINGOS DO CAPIM,REFORMA DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VEREADOR CANDIDO LOPES DE OLIVEIRA EM SÃO DOMINGOS DO CAPIM/PA,85669,1,REFORMA DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VEREADOR CANDIDO LOPES DE OLIVEIRA EM SÃO DOMINGOS DO CAPIM/PA,M2,11266170,1485000,0,0,0,0,0,0,0,36
