"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
46930,"2025-12-03","2025OP008197",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008203","2025NS030250","2025-12-04","2025-12-04",70095
46220,"2025-12-03","2025OP007487",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007486","2025NS029540","2025-12-04","2025-12-04",68766
48826,"2025-12-29","2025OP010103",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-29","2025-12-29","2025OB010109","2025NS033839","2025-12-29","2025-12-29",70528
46691,"2025-12-03","2025OP007958",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007957","2025NS030011","2025-12-04","2025-12-04",68538
47869,"2025-12-03","2025OP009136",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009135","2025NS031189","2025-12-04","2025-12-04",68606
46906,"2025-12-03","2025OP008173",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008172","2025NS030226","2025-12-04","2025-12-04",67996
47803,"2025-12-03","2025OP009070",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB009069","2025NS031123","2025-12-04","2025-12-04",68926
46434,"2025-12-03","2025OP007701",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007700","2025NS029754","2025-12-04","2025-12-04",68103
47695,"2025-12-03","2025OP008962",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008961","2025NS031015","2025-12-04","2025-12-04",69046
47956,"2025-12-04","2025OP009223",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009222","2025NS031767","2025-12-05","2025-12-04",69554
48002,"2025-12-04","2025OP009269",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009268","2025NS031813","2025-12-05","2025-12-04",69361
47972,"2025-12-04","2025OP009239",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009238","2025NS031783","2025-12-05","2025-12-04",69451
48003,"2025-12-04","2025OP009270",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009269","2025NS031814","2025-12-05","2025-12-04",69454
47477,"2025-12-03","2025OP008744",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008743","2025NS030797","2025-12-04","2025-12-04",69481
48371,"2025-12-04","2025OP009637",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009636","2025NS032181","2025-12-05","2025-12-04",69497
48223,"2025-12-04","2025OP009489",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-05","2025-12-05","2025OB009488","2025NS032033","2025-12-05","2025-12-04",69515
48533,"2025-12-18","2025OP009810",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB009805","2025NS033117","2025-12-18","2025-12-18",70302
48748,"2025-12-18","2025OP010025",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB010003","2025NS033332","2025-12-18","2025-12-18",70356
48714,"2025-12-18","2025OP009991",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB010023","2025NS033298","2025-12-18","2025-12-18",70463
48790,"2025-12-18","2025OP010067",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-18","2025-12-18","2025OB010073","2025NS033374","2025-12-18","2025-12-18",70432
48842,"2025-12-29","2025OP010119",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-29","2025-12-29","2025OB010125","2025NS033855","2025-12-29","2025-12-29",70489
47684,"2025-12-03","2025OP008951",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008950","2025NS031004","2025-12-04","2025-12-04",68793
46582,"2025-12-03","2025OP007849",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007848","2025NS029902","2025-12-04","2025-12-04",68801
47348,"2025-12-03","2025OP008615",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB008614","2025NS030668","2025-12-04","2025-12-04",68550
46475,"2025-12-03","2025OP007742",405,5,"OB Enviada à instituição bancária para pagamento","2025-12-04","2025-12-04","2025OB007741","2025NS029795","2025-12-04","2025-12-04",68553
