"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
161794,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43470
162448,"2025-09-29T18:56:17.512047",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43470
146674,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39627
149374,"2025-09-09T10:15:30.51088",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39627
152750,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39627
148632,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41585
151332,"2025-09-09T12:05:01.599088",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41585
152203,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41585
147587,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40540
150287,"2025-09-09T11:07:31.926661",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40540
153680,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40540
147390,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40343
150090,"2025-09-09T10:56:36.309575",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40343
153268,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40343
146008,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",38961
148708,"2025-09-09T09:40:00.061338",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",38961
151373,"2025-09-09T14:29:58.763536",4,"OP Assinada mas sem OB gerada",38961
151993,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",38961
147590,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40543
150290,"2025-09-09T11:07:41.711001",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40543
153742,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40543
