"id_programa","ano_programa","modalidade_programa","codigo_programa","id_orgao_superior_programa","sigla_orgao_superior_programa","nome_orgao_superior_programa","id_orgao_programa","sigla_orgao_programa","nome_orgao_programa","id_unidade_gestora_programa","documentos_origem_programa","id_unidade_orcamentaria_responsavel_programa","data_inicio_ciencia_programa","data_fim_ciencia_programa","valor_necessidade_financeira_programa","valor_total_disponibilizado_programa","valor_impedido_programa","valor_a_disponibilizar_programa","valor_documentos_habeis_gerados_programa","valor_obs_geradas_programa","valor_disponibilidade_atual_programa"
23,2025,"ESPECIAL","09032025",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2025DF00027 - 2025DF00028 - 2025DF00029 - 2025DF00030 - 2025DF00031 - 2025DF00032",308800,"2025-07-29","2025-08-05",6994172321.73,5232799210.32,1609450593.3,151922518.11,5232799210.32,5232799210.32,0
24,2025,"ESPECIAL","09032025-2",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2025DF00033 - 2025DF00034 - 2025DF00035",308800,"2025-10-30","2025-11-07",1811762693.73,1663455006.18,124963630.11,23344057.44,1663455006.18,1663455006.18,0
