"id_analise_pendente","id_orgao_analise_pendente_pt","nome_orgao_analise_pendente_pt","id_plano_trabalho"
"39816-253",253,"Fundo Nacional de Desenvolvimento da Educação",39816
"37975-308797",308797,"Ministério do Esporte",37975
"37975-308798",308798,"Ministério das Cidades",37975
"37636-308798",308798,"Ministério das Cidades",37636
"42742-253",253,"Fundo Nacional de Desenvolvimento da Educação",42742
"42377-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42377
"41012-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",41012
"35162-2207",2207,"Fundação Nacional de Saúde",35162
"43536-308798",308798,"Ministério das Cidades",43536
"43639-304",304,"Ministério da Saúde",43639
"40508-308798",308798,"Ministério das Cidades",40508
"42478-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",42478
"34846-1927",1927,"Ministério do Meio Ambiente",34846
"36210-308798",308798,"Ministério das Cidades",36210
"36210-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36210
"35675-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35675
"39335-304",304,"Ministério da Saúde",39335
"36331-308793",308793,"Ministério da Agricultura e Pecuária",36331
"37917-72084",72084,"Ministério do Turismo",37917
"43225-308798",308798,"Ministério das Cidades",43225
"36612-72084",72084,"Ministério do Turismo",36612
"37557-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",37557
"43024-72084",72084,"Ministério do Turismo",43024
"37619-304",304,"Ministério da Saúde",37619
"34580-304",304,"Ministério da Saúde",34580
"41201-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41201
"36825-308817",308817,"Ministério de Portos e Aeroportos",36825
"41733-1927",1927,"Ministério do Meio Ambiente",41733
"34897-2207",2207,"Fundação Nacional de Saúde",34897
"34897-304",304,"Ministério da Saúde",34897
"37469-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",37469
"37731-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",37731
"41788-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",41788
"37635-308820",308820,"Ministério do Trabalho e Emprego",37635
"36571-1927",1927,"Ministério do Meio Ambiente",36571
"38318-2207",2207,"Fundação Nacional de Saúde",38318
"38318-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",38318
"38318-304",304,"Ministério da Saúde",38318
"38442-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",38442
"38409-304",304,"Ministério da Saúde",38409
"38725-304",304,"Ministério da Saúde",38725
"38725-2207",2207,"Fundação Nacional de Saúde",38725
"37850-235881",235881,"Ministério da Justiça e Segurança Pública",37850
"41593-304",304,"Ministério da Saúde",41593
"42548-308798",308798,"Ministério das Cidades",42548
"42449-235881",235881,"Ministério da Justiça e Segurança Pública",42449
"42449-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",42449
"40871-304",304,"Ministério da Saúde",40871
"38800-235881",235881,"Ministério da Justiça e Segurança Pública",38800
"35144-304",304,"Ministério da Saúde",35144
"42603-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",42603
"43175-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",43175
"39734-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",39734
"43705-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",43705
"35296-235881",235881,"Ministério da Justiça e Segurança Pública",35296
"39146-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",39146
"39560-308793",308793,"Ministério da Agricultura e Pecuária",39560
"42215-308797",308797,"Ministério do Esporte",42215
"42576-1927",1927,"Ministério do Meio Ambiente",42576
"43011-304",304,"Ministério da Saúde",43011
"39018-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",39018
"37680-2207",2207,"Fundação Nacional de Saúde",37680
"37680-308798",308798,"Ministério das Cidades",37680
"38840-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",38840
"43694-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",43694
"43675-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",43675
"34923-2207",2207,"Fundação Nacional de Saúde",34923
"34923-308798",308798,"Ministério das Cidades",34923
"34925-2207",2207,"Fundação Nacional de Saúde",34925
"42047-72084",72084,"Ministério do Turismo",42047
"39745-304",304,"Ministério da Saúde",39745
"38510-244",244,"Ministério da Educação",38510
"38510-253",253,"Fundo Nacional de Desenvolvimento da Educação",38510
"38539-72084",72084,"Ministério do Turismo",38539
"34386-308798",308798,"Ministério das Cidades",34386
"34388-308793",308793,"Ministério da Agricultura e Pecuária",34388
"36942-308798",308798,"Ministério das Cidades",36942
"39522-304",304,"Ministério da Saúde",39522
"39627-304",304,"Ministério da Saúde",39627
"43164-304",304,"Ministério da Saúde",43164
"43490-304",304,"Ministério da Saúde",43490
"36400-2207",2207,"Fundação Nacional de Saúde",36400
"36400-304",304,"Ministério da Saúde",36400
"43376-253",253,"Fundo Nacional de Desenvolvimento da Educação",43376
"41355-308798",308798,"Ministério das Cidades",41355
"42722-308798",308798,"Ministério das Cidades",42722
"37687-2207",2207,"Fundação Nacional de Saúde",37687
"41914-304",304,"Ministério da Saúde",41914
"35328-304",304,"Ministério da Saúde",35328
"42685-304",304,"Ministério da Saúde",42685
"37866-304",304,"Ministério da Saúde",37866
"37866-308798",308798,"Ministério das Cidades",37866
"37866-2207",2207,"Fundação Nacional de Saúde",37866
"40537-304",304,"Ministério da Saúde",40537
"43397-308821",308821,"Ministério da Cultura",43397
"37165-1927",1927,"Ministério do Meio Ambiente",37165
"38053-304",304,"Ministério da Saúde",38053
"42489-304",304,"Ministério da Saúde",42489
"42541-1927",1927,"Ministério do Meio Ambiente",42541
"36886-304",304,"Ministério da Saúde",36886
"37677-304",304,"Ministério da Saúde",37677
"42275-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",42275
"41334-72084",72084,"Ministério do Turismo",41334
"41256-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",41256
"38138-308798",308798,"Ministério das Cidades",38138
"38065-308798",308798,"Ministério das Cidades",38065
"37660-253",253,"Fundo Nacional de Desenvolvimento da Educação",37660
"40441-1927",1927,"Ministério do Meio Ambiente",40441
"36078-253",253,"Fundo Nacional de Desenvolvimento da Educação",36078
"42023-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",42023
"40851-1927",1927,"Ministério do Meio Ambiente",40851
"38040-304",304,"Ministério da Saúde",38040
"40643-304",304,"Ministério da Saúde",40643
"43597-304",304,"Ministério da Saúde",43597
"36080-308798",308798,"Ministério das Cidades",36080
"38161-304",304,"Ministério da Saúde",38161
"39878-304",304,"Ministério da Saúde",39878
"37623-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",37623
"36446-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",36446
"36164-253",253,"Fundo Nacional de Desenvolvimento da Educação",36164
"37129-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",37129
"42567-308798",308798,"Ministério das Cidades",42567
"34648-308798",308798,"Ministério das Cidades",34648
"42068-304",304,"Ministério da Saúde",42068
"42090-304",304,"Ministério da Saúde",42090
"34226-308798",308798,"Ministério das Cidades",34226
"43006-304",304,"Ministério da Saúde",43006
"43776-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",43776
"40137-304",304,"Ministério da Saúde",40137
"40016-304",304,"Ministério da Saúde",40016
"38608-308797",308797,"Ministério do Esporte",38608
"36029-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36029
"36987-308798",308798,"Ministério das Cidades",36987
"42787-304",304,"Ministério da Saúde",42787
"37135-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",37135
"43459-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",43459
"42682-304",304,"Ministério da Saúde",42682
"42977-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42977
"43763-308793",308793,"Ministério da Agricultura e Pecuária",43763
"42006-72084",72084,"Ministério do Turismo",42006
"35059-304",304,"Ministério da Saúde",35059
"40939-304",304,"Ministério da Saúde",40939
"34526-308793",308793,"Ministério da Agricultura e Pecuária",34526
"43084-2207",2207,"Fundação Nacional de Saúde",43084
"43084-308798",308798,"Ministério das Cidades",43084
"39185-304",304,"Ministério da Saúde",39185
"42684-304",304,"Ministério da Saúde",42684
"41008-304",304,"Ministério da Saúde",41008
"37921-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",37921
"42755-308798",308798,"Ministério das Cidades",42755
"36812-1927",1927,"Ministério do Meio Ambiente",36812
"36812-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36812
"43181-304",304,"Ministério da Saúde",43181
"36794-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",36794
"42014-308798",308798,"Ministério das Cidades",42014
"43543-304",304,"Ministério da Saúde",43543
"43566-304",304,"Ministério da Saúde",43566
"43591-304",304,"Ministério da Saúde",43591
"43691-308798",308798,"Ministério das Cidades",43691
"43691-2207",2207,"Fundação Nacional de Saúde",43691
"36958-308798",308798,"Ministério das Cidades",36958
"36958-2207",2207,"Fundação Nacional de Saúde",36958
"38333-304",304,"Ministério da Saúde",38333
"35484-308821",308821,"Ministério da Cultura",35484
"38513-304",304,"Ministério da Saúde",38513
"35266-72084",72084,"Ministério do Turismo",35266
"39944-308798",308798,"Ministério das Cidades",39944
"39944-304",304,"Ministério da Saúde",39944
"39944-2207",2207,"Fundação Nacional de Saúde",39944
"43598-304",304,"Ministério da Saúde",43598
"37433-2207",2207,"Fundação Nacional de Saúde",37433
"37463-2207",2207,"Fundação Nacional de Saúde",37463
"42910-2207",2207,"Fundação Nacional de Saúde",42910
"36429-72084",72084,"Ministério do Turismo",36429
"43108-1927",1927,"Ministério do Meio Ambiente",43108
"43108-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",43108
"43108-308793",308793,"Ministério da Agricultura e Pecuária",43108
"40562-304",304,"Ministério da Saúde",40562
"37976-308793",308793,"Ministério da Agricultura e Pecuária",37976
"39462-253",253,"Fundo Nacional de Desenvolvimento da Educação",39462
"38191-308798",308798,"Ministério das Cidades",38191
"43046-304",304,"Ministério da Saúde",43046
"37602-2207",2207,"Fundação Nacional de Saúde",37602
"37602-304",304,"Ministério da Saúde",37602
"38662-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",38662
"43786-72084",72084,"Ministério do Turismo",43786
"43774-1927",1927,"Ministério do Meio Ambiente",43774
"36675-308793",308793,"Ministério da Agricultura e Pecuária",36675
"36675-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36675
"36675-308795",308795,"Ministério da Pesca e Aquicultura",36675
"36675-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",36675
"38760-304",304,"Ministério da Saúde",38760
"39534-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",39534
"42815-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42815
"42815-1927",1927,"Ministério do Meio Ambiente",42815
"42815-308793",308793,"Ministério da Agricultura e Pecuária",42815
"43100-308798",308798,"Ministério das Cidades",43100
"36900-308793",308793,"Ministério da Agricultura e Pecuária",36900
"40209-308798",308798,"Ministério das Cidades",40209
"43339-72084",72084,"Ministério do Turismo",43339
"43339-330683",330683,"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",43339
"41075-2207",2207,"Fundação Nacional de Saúde",41075
"41075-304",304,"Ministério da Saúde",41075
"40386-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",40386
"40386-1927",1927,"Ministério do Meio Ambiente",40386
"34904-2207",2207,"Fundação Nacional de Saúde",34904
"34904-304",304,"Ministério da Saúde",34904
"39594-308795",308795,"Ministério da Pesca e Aquicultura",39594
"39594-308793",308793,"Ministério da Agricultura e Pecuária",39594
"41448-308793",308793,"Ministério da Agricultura e Pecuária",41448
"34740-308817",308817,"Ministério de Portos e Aeroportos",34740
"37343-308798",308798,"Ministério das Cidades",37343
"43766-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",43766
"43766-308793",308793,"Ministério da Agricultura e Pecuária",43766
"36993-304",304,"Ministério da Saúde",36993
"43204-1927",1927,"Ministério do Meio Ambiente",43204
"40890-1927",1927,"Ministério do Meio Ambiente",40890
"38646-308821",308821,"Ministério da Cultura",38646
"38639-308793",308793,"Ministério da Agricultura e Pecuária",38639
"38639-308821",308821,"Ministério da Cultura",38639
"36979-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",36979
"37274-253",253,"Fundo Nacional de Desenvolvimento da Educação",37274
"37355-308798",308798,"Ministério das Cidades",37355
"36478-308793",308793,"Ministério da Agricultura e Pecuária",36478
"35841-308798",308798,"Ministério das Cidades",35841
"37947-304",304,"Ministério da Saúde",37947
"43614-304",304,"Ministério da Saúde",43614
"38425-308798",308798,"Ministério das Cidades",38425
"41289-308795",308795,"Ministério da Pesca e Aquicultura",41289
"37644-72084",72084,"Ministério do Turismo",37644
"39470-72084",72084,"Ministério do Turismo",39470
"41500-253",253,"Fundo Nacional de Desenvolvimento da Educação",41500
"36292-304",304,"Ministério da Saúde",36292
"36292-2207",2207,"Fundação Nacional de Saúde",36292
"37837-308793",308793,"Ministério da Agricultura e Pecuária",37837
"36227-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36227
"36044-308793",308793,"Ministério da Agricultura e Pecuária",36044
"39233-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",39233
"35703-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",35703
"35713-304",304,"Ministério da Saúde",35713
"39120-2207",2207,"Fundação Nacional de Saúde",39120
"39120-304",304,"Ministério da Saúde",39120
"39740-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39740
"43759-308821",308821,"Ministério da Cultura",43759
"34689-304",304,"Ministério da Saúde",34689
"38626-304",304,"Ministério da Saúde",38626
"39319-1927",1927,"Ministério do Meio Ambiente",39319
"39319-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39319
"40944-1927",1927,"Ministério do Meio Ambiente",40944
"39708-1927",1927,"Ministério do Meio Ambiente",39708
"40590-235881",235881,"Ministério da Justiça e Segurança Pública",40590
"37809-308798",308798,"Ministério das Cidades",37809
"41519-304",304,"Ministério da Saúde",41519
"36242-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36242
"41495-2207",2207,"Fundação Nacional de Saúde",41495
"41495-308798",308798,"Ministério das Cidades",41495
"38131-304",304,"Ministério da Saúde",38131
"34422-304",304,"Ministério da Saúde",34422
"37409-308798",308798,"Ministério das Cidades",37409
"42993-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",42993
"43098-2207",2207,"Fundação Nacional de Saúde",43098
"43476-304",304,"Ministério da Saúde",43476
"37586-308798",308798,"Ministério das Cidades",37586
"35117-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",35117
"34896-308798",308798,"Ministério das Cidades",34896
"34896-2207",2207,"Fundação Nacional de Saúde",34896
"34892-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",34892
"34892-308795",308795,"Ministério da Pesca e Aquicultura",34892
"34892-308793",308793,"Ministério da Agricultura e Pecuária",34892
"37808-72084",72084,"Ministério do Turismo",37808
"41549-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",41549
"42457-304",304,"Ministério da Saúde",42457
"39301-304",304,"Ministério da Saúde",39301
"41961-304",304,"Ministério da Saúde",41961
"34988-304",304,"Ministério da Saúde",34988
"40747-308817",308817,"Ministério de Portos e Aeroportos",40747
"38723-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",38723
"36593-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",36593
"36593-308793",308793,"Ministério da Agricultura e Pecuária",36593
"36593-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36593
"36593-308795",308795,"Ministério da Pesca e Aquicultura",36593
"42365-304",304,"Ministério da Saúde",42365
"40458-72084",72084,"Ministério do Turismo",40458
"39048-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39048
"39054-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39054
"43846-308798",308798,"Ministério das Cidades",43846
"43846-2207",2207,"Fundação Nacional de Saúde",43846
"36961-304",304,"Ministério da Saúde",36961
"35576-2207",2207,"Fundação Nacional de Saúde",35576
"35576-304",304,"Ministério da Saúde",35576
"36036-304",304,"Ministério da Saúde",36036
"38582-1927",1927,"Ministério do Meio Ambiente",38582
"39230-2207",2207,"Fundação Nacional de Saúde",39230
"39230-304",304,"Ministério da Saúde",39230
"37531-2207",2207,"Fundação Nacional de Saúde",37531
"37531-308798",308798,"Ministério das Cidades",37531
"37531-304",304,"Ministério da Saúde",37531
"37630-308798",308798,"Ministério das Cidades",37630
"37597-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",37597
"39028-308817",308817,"Ministério de Portos e Aeroportos",39028
"35750-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",35750
"42417-244",244,"Ministério da Educação",42417
"35844-2207",2207,"Fundação Nacional de Saúde",35844
"35844-308798",308798,"Ministério das Cidades",35844
