"id_analise_pendente","id_orgao_analise_pendente_pt","nome_orgao_analise_pendente_pt","id_plano_trabalho"
"38300-304",304,"Ministério da Saúde",38300
"42134-308795",308795,"Ministério da Pesca e Aquicultura",42134
"42134-1927",1927,"Ministério do Meio Ambiente",42134
"42134-308793",308793,"Ministério da Agricultura e Pecuária",42134
"35901-308797",308797,"Ministério do Esporte",35901
"42604-308797",308797,"Ministério do Esporte",42604
"38683-72084",72084,"Ministério do Turismo",38683
"43687-308798",308798,"Ministério das Cidades",43687
"39076-308793",308793,"Ministério da Agricultura e Pecuária",39076
"34538-308797",308797,"Ministério do Esporte",34538
"41795-1927",1927,"Ministério do Meio Ambiente",41795
"41795-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41795
"39972-308795",308795,"Ministério da Pesca e Aquicultura",39972
"39972-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39972
"39972-308793",308793,"Ministério da Agricultura e Pecuária",39972
"39972-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",39972
"38023-2207",2207,"Fundação Nacional de Saúde",38023
"40185-308793",308793,"Ministério da Agricultura e Pecuária",40185
"37016-304",304,"Ministério da Saúde",37016
"37004-304",304,"Ministério da Saúde",37004
"41216-304",304,"Ministério da Saúde",41216
"42017-308798",308798,"Ministério das Cidades",42017
"42017-2207",2207,"Fundação Nacional de Saúde",42017
"43294-304",304,"Ministério da Saúde",43294
"40547-2207",2207,"Fundação Nacional de Saúde",40547
"40547-304",304,"Ministério da Saúde",40547
"38907-304",304,"Ministério da Saúde",38907
"38853-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",38853
"42486-308793",308793,"Ministério da Agricultura e Pecuária",42486
"42486-308795",308795,"Ministério da Pesca e Aquicultura",42486
"35140-308798",308798,"Ministério das Cidades",35140
"35140-2207",2207,"Fundação Nacional de Saúde",35140
"35151-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35151
"40469-308798",308798,"Ministério das Cidades",40469
"41019-304",304,"Ministério da Saúde",41019
"39506-304",304,"Ministério da Saúde",39506
"36946-308798",308798,"Ministério das Cidades",36946
"36946-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36946
"41275-308798",308798,"Ministério das Cidades",41275
"41625-2207",2207,"Fundação Nacional de Saúde",41625
"41625-308798",308798,"Ministério das Cidades",41625
"41630-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",41630
"36104-304",304,"Ministério da Saúde",36104
"41522-304",304,"Ministério da Saúde",41522
"41544-2207",2207,"Fundação Nacional de Saúde",41544
"43522-308798",308798,"Ministério das Cidades",43522
"42315-304",304,"Ministério da Saúde",42315
"41457-304",304,"Ministério da Saúde",41457
"38101-72084",72084,"Ministério do Turismo",38101
"37025-308793",308793,"Ministério da Agricultura e Pecuária",37025
"37844-2207",2207,"Fundação Nacional de Saúde",37844
"43661-304",304,"Ministério da Saúde",43661
"41419-308793",308793,"Ministério da Agricultura e Pecuária",41419
"41419-308795",308795,"Ministério da Pesca e Aquicultura",41419
"39468-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39468
"36116-308798",308798,"Ministério das Cidades",36116
"39276-304",304,"Ministério da Saúde",39276
"39276-2207",2207,"Fundação Nacional de Saúde",39276
"36024-304",304,"Ministério da Saúde",36024
"41659-308793",308793,"Ministério da Agricultura e Pecuária",41659
"34137-308798",308798,"Ministério das Cidades",34137
"43483-304",304,"Ministério da Saúde",43483
"43483-2207",2207,"Fundação Nacional de Saúde",43483
"38908-308798",308798,"Ministério das Cidades",38908
"39525-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",39525
"36892-72084",72084,"Ministério do Turismo",36892
"36838-2207",2207,"Fundação Nacional de Saúde",36838
"36838-304",304,"Ministério da Saúde",36838
"39724-308793",308793,"Ministério da Agricultura e Pecuária",39724
"40354-304",304,"Ministério da Saúde",40354
"40354-2207",2207,"Fundação Nacional de Saúde",40354
"40499-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",40499
"40499-2207",2207,"Fundação Nacional de Saúde",40499
"40499-308798",308798,"Ministério das Cidades",40499
"40499-304",304,"Ministério da Saúde",40499
"41387-304",304,"Ministério da Saúde",41387
"42607-304",304,"Ministério da Saúde",42607
"35272-308798",308798,"Ministério das Cidades",35272
"43103-1927",1927,"Ministério do Meio Ambiente",43103
"43600-1927",1927,"Ministério do Meio Ambiente",43600
"43600-308793",308793,"Ministério da Agricultura e Pecuária",43600
"43616-72084",72084,"Ministério do Turismo",43616
"35765-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",35765
"37361-308798",308798,"Ministério das Cidades",37361
"39982-304",304,"Ministério da Saúde",39982
"41726-304",304,"Ministério da Saúde",41726
"38622-308798",308798,"Ministério das Cidades",38622
"43810-72084",72084,"Ministério do Turismo",43810
"35539-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",35539
"41654-72084",72084,"Ministério do Turismo",41654
"43718-304",304,"Ministério da Saúde",43718
"41839-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41839
"41839-308793",308793,"Ministério da Agricultura e Pecuária",41839
"41839-308795",308795,"Ministério da Pesca e Aquicultura",41839
"38599-308817",308817,"Ministério de Portos e Aeroportos",38599
"38164-253",253,"Fundo Nacional de Desenvolvimento da Educação",38164
"38164-244",244,"Ministério da Educação",38164
"34686-308798",308798,"Ministério das Cidades",34686
"34686-2207",2207,"Fundação Nacional de Saúde",34686
"38474-304",304,"Ministério da Saúde",38474
"38474-308798",308798,"Ministério das Cidades",38474
"38474-2207",2207,"Fundação Nacional de Saúde",38474
"38159-72084",72084,"Ministério do Turismo",38159
"38196-304",304,"Ministério da Saúde",38196
"40781-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",40781
"41468-2207",2207,"Fundação Nacional de Saúde",41468
"41468-308798",308798,"Ministério das Cidades",41468
"39248-308793",308793,"Ministério da Agricultura e Pecuária",39248
"38404-308793",308793,"Ministério da Agricultura e Pecuária",38404
"43301-308798",308798,"Ministério das Cidades",43301
"41644-308798",308798,"Ministério das Cidades",41644
"41644-2207",2207,"Fundação Nacional de Saúde",41644
"39446-72084",72084,"Ministério do Turismo",39446
"35535-308793",308793,"Ministério da Agricultura e Pecuária",35535
"38888-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",38888
"35025-304",304,"Ministério da Saúde",35025
"35025-2207",2207,"Fundação Nacional de Saúde",35025
"40709-304",304,"Ministério da Saúde",40709
"41017-304",304,"Ministério da Saúde",41017
"43576-308798",308798,"Ministério das Cidades",43576
"37550-1927",1927,"Ministério do Meio Ambiente",37550
"37556-1927",1927,"Ministério do Meio Ambiente",37556
"41837-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",41837
"38901-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",38901
"40495-308798",308798,"Ministério das Cidades",40495
"40495-2207",2207,"Fundação Nacional de Saúde",40495
"42969-1927",1927,"Ministério do Meio Ambiente",42969
"43008-1927",1927,"Ministério do Meio Ambiente",43008
"42941-308798",308798,"Ministério das Cidades",42941
"38787-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",38787
"39515-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",39515
"40663-304",304,"Ministério da Saúde",40663
"40716-304",304,"Ministério da Saúde",40716
"37456-308798",308798,"Ministério das Cidades",37456
"38192-253",253,"Fundo Nacional de Desenvolvimento da Educação",38192
"35978-308798",308798,"Ministério das Cidades",35978
"35978-2207",2207,"Fundação Nacional de Saúde",35978
"35637-308795",308795,"Ministério da Pesca e Aquicultura",35637
"41611-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41611
"41611-308795",308795,"Ministério da Pesca e Aquicultura",41611
"41611-308793",308793,"Ministério da Agricultura e Pecuária",41611
"35195-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35195
"40994-308793",308793,"Ministério da Agricultura e Pecuária",40994
"41720-304",304,"Ministério da Saúde",41720
"42427-308793",308793,"Ministério da Agricultura e Pecuária",42427
"36634-72084",72084,"Ministério do Turismo",36634
"35720-308798",308798,"Ministério das Cidades",35720
"34454-304",304,"Ministério da Saúde",34454
"34454-2207",2207,"Fundação Nacional de Saúde",34454
"41505-308795",308795,"Ministério da Pesca e Aquicultura",41505
"41505-308793",308793,"Ministério da Agricultura e Pecuária",41505
"41505-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",41505
"37282-308793",308793,"Ministério da Agricultura e Pecuária",37282
"37282-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",37282
"37282-308795",308795,"Ministério da Pesca e Aquicultura",37282
"37282-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",37282
"41995-308798",308798,"Ministério das Cidades",41995
"43205-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",43205
"35611-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",35611
"35611-308815",308815,"Ministério das Mulheres",35611
"35611-235881",235881,"Ministério da Justiça e Segurança Pública",35611
"35611-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",35611
"38944-304",304,"Ministério da Saúde",38944
"38701-308821",308821,"Ministério da Cultura",38701
"40609-304",304,"Ministério da Saúde",40609
"37079-304",304,"Ministério da Saúde",37079
"38876-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",38876
"38670-308793",308793,"Ministério da Agricultura e Pecuária",38670
"43050-304",304,"Ministério da Saúde",43050
"43147-304",304,"Ministério da Saúde",43147
"35264-253",253,"Fundo Nacional de Desenvolvimento da Educação",35264
"37728-2207",2207,"Fundação Nacional de Saúde",37728
"44445-304",304,"Ministério da Saúde",44445
"44313-304",304,"Ministério da Saúde",44313
"46926-304",304,"Ministério da Saúde",46926
"45354-304",304,"Ministério da Saúde",45354
"45436-304",304,"Ministério da Saúde",45436
"45678-308817",308817,"Ministério de Portos e Aeroportos",45678
"44389-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",44389
"44552-304",304,"Ministério da Saúde",44552
"44714-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",44714
"46758-308798",308798,"Ministério das Cidades",46758
"44971-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",44971
"44309-304",304,"Ministério da Saúde",44309
"46103-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",46103
"46128-304",304,"Ministério da Saúde",46128
"46128-2207",2207,"Fundação Nacional de Saúde",46128
"46128-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",46128
"45906-304",304,"Ministério da Saúde",45906
"45184-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",45184
"45278-330683",330683,"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",45278
"46355-304",304,"Ministério da Saúde",46355
"46335-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",46335
"46979-304",304,"Ministério da Saúde",46979
"44233-308798",308798,"Ministério das Cidades",44233
"45469-308798",308798,"Ministério das Cidades",45469
"44500-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",44500
"46665-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",46665
"46768-308820",308820,"Ministério do Trabalho e Emprego",46768
"46834-304",304,"Ministério da Saúde",46834
"46838-308816",308816,"Ministério dos Direitos Humanos e da Cidadania",46838
